eco,name,moves
A06,Zukertort Opening: Santasiere's Folly,b2b4 d7d5 g1f3
A06,Zukertort Opening: Tennison Gambit,e2e4 d7d5 g1f3
A06,Zukertort Opening: The Potato,g1f3 d7d5 a2a4
A07,"English Opening: Anglo-Indian Defense, Grünfeld Formation",g2g3 d7d5 g1f3 g7g6 c2c4 g8f6
A07,Hungarian Opening: Wiedenhagen-Beta Gambit,g2g3 d7d5 g1f3 g7g5
A07,King's Indian Attack,g1f3 d7d5 g2g3
A07,King's Indian Attack: Double Fianchetto,g1f3 d7d5 g2g3 g7g6
A07,King's Indian Attack: Keres Variation,g1f3 d7d5 g2g3 c8g4
A07,King's Indian Attack: Keres Variation,g1f3 d7d5 g2g3 c8g4 f1g2 b8d7
A07,King's Indian Attack: Omega-Delta Gambit,g1f3 d7d5 g2g3 e7e5
A07,King's Indian Attack: Pachman System,g1f3 d7d5 g2g3 g7g6 f1g2 f8g7 e1g1 e7e5 d2d3 g8e7
A07,King's Indian Attack: Sicilian Variation,g1f3 d7d5 g2g3 c7c5
A07,King's Indian Attack: Yugoslav Variation,g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8g4
A08,King's Indian Attack: French Variation,g1f3 d7d5 g2g3 c7c5 f1g2 b8c6
A08,King's Indian Attack: Sicilian Variation,e2e4 e7e6 d2d3 d7d5 b1d2 g8f6 g1f3 c7c5 g2g3 b8c6 f1g2 f8e7 e1g1 e8g8 f1e1
A08,King's Indian Attack: Sicilian Variation,g1f3 d7d5 g2g3 c7c5 f1g2
A08,Zukertort Opening: Grünfeld Reversed,g1f3 d7d5 g2g3 c7c5 f1g2 b8c6 d2d4 e7e6 e1g1
A09,Réti Opening,g1f3 d7d5 c2c4
A09,Réti Opening: Advance Variation,g1f3 d7d5 c2c4 d5d4
A09,"Réti Opening: Advance Variation, Michel Gambit",g1f3 d7d5 c2c4 d5d4 b2b4 c7c5
A09,Réti Opening: Penguin Variation,g1f3 d7d5 c2c4 d5d4 h1g1
A09,Réti Opening: Reversed Blumenfeld Gambit,g1f3 d7d5 c2c4 d5d4 e2e3 c7c5 b2b4
A09,Réti Opening: Réti Accepted,g1f3 d7d5 c2c4 d5c4
A09,"Réti Opening: Réti Gambit, Keres Variation",g1f3 d7d5 c2c4 d5c4 e2e3 c8e6
A09,Réti Opening: Zilbermints Gambit,g1f3 d7d5 c2c4 b7b5
A10,Dutch Defense: Krause Variation,c2c4 f7f5 b1c3 g8f6 g1f3 b8c6 d2d4 d7d6
A10,English Opening,c2c4
A10,English Opening: Adorjan Defense,c2c4 g7g6 e2e4 e7e5
A10,English Opening: Anglo-Dutch Defense,c2c4 f7f5
A10,"English Opening: Anglo-Dutch Defense, Hickmann Gambit",c2c4 f7f5 e2e4
A10,"English Opening: Anglo-Dutch Variation, Chabanon Gambit",c2c4 f7f5 g1f3 d7d6 e2e4
A10,"English Opening: Anglo-Dutch Variation, Ferenc Gambit",c2c4 f7f5 b1c3 g8f6 e2e4
A10,English Opening: Anglo-Lithuanian Variation,c2c4 b8c6
A10,English Opening: Anglo-Scandinavian Defense,c2c4 d7d5
A10,"English Opening: Anglo-Scandinavian Defense, Löhn Gambit",c2c4 d7d5 c4d5 e7e6
A10,"English Opening: Anglo-Scandinavian Defense, Malvinas Variation",c2c4 d7d5 c4d5 d8d5 b1c3 d5a5
A10,"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",c2c4 d7d5 c4d5 g8f6
A10,English Opening: Great Snake Variation,c2c4 g7g6
A10,English Opening: Jaenisch Gambit,c2c4 b7b5
A10,"English Opening: King's English Variation, Botvinnik System, Prickly Pawn Pass System",c2c4 g7g6 b1c3 f8g7 g2g3 g8f6 f1g2 e8g8 e2e4 d7d6 g1e2 e7e5 e1g1 c7c6 d2d3 a7a6
A10,English Opening: Myers Variation,c2c4 g7g5 d2d4 f8g7
A10,English Opening: Porcupine Variation,c2c4 f7f5 b1c3 g8f6 e2e4 f5e4 g2g4
A10,English Opening: Wade Gambit,c2c4 f7f5 g2g4
A10,English Opening: Zilbermints Gambit,c2c4 g7g5 d2d4 e7e5
A10,"King's Indian Defense: Semi-Classical Variation, Exchange Variation",c2c4 g7g6 b1c3 f8g7 e2e3 g8f6 d2d4 e8g8 g1f3 d7d6 f1e2 b8d7 e1g1 e7e5 d4e5 d6e5
A10,"Modern Defense: Averbakh Variation, Pseudo-Sämisch",c2c4 g7g6 e2e4 f8g7 d2d4 d7d6 c1e3 g8f6 f2f3
A10,Modern Defense: Neo-Modern Defense,c2c4 g7g6 e2e4 f8g7 d2d4 e7e5
A11,English Opening: Caro-Kann Defensive System,c2c4 c7c6
A12,"Réti Opening: Anglo-Slav Variation, Bled Variation",g1f3 d7d5 b2b3 g8f6 c1b2 g7g6 c2c4 c7c6
A12,"Réti Opening: Anglo-Slav Variation, Bogoljubov Variation",g1f3 d7d5 c2c4 c7c6 b2b3
A12,"Réti Opening: Anglo-Slav Variation, Bogoljubov Variation",g1f3 d7d5 c2c4 c7c6 b2b3 c8g4
A12,"Réti Opening: Anglo-Slav Variation, Bogoljubov Variation",g1f3 g8f6 c2c4 c7c6 b2b3 d7d5 c1b2
A12,"Réti Opening: Anglo-Slav Variation, Capablanca Variation",c2c4 g8f6 g1f3 c7c6 b2b3 d7d5 c1b2 c8g4
A12,"Réti Opening: Anglo-Slav Variation, London Defensive System",c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8f5
A12,"Réti Opening: Anglo-Slav Variation, New York System",g1f3 g8f6 c2c4 c7c6 b2b3 d7d5 c1b2 c8f5
A12,"Réti Opening: Anglo-Slav Variation, Torre System",c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8g4
A13,English Opening: Agincourt Defense,c2c4 e7e6
A13,English Opening: Agincourt Defense,c2c4 e7e6 g1f3
A13,English Opening: Agincourt Defense,c2c4 e7e6 g1f3 d7d5
A13,"English Opening: Agincourt Defense, Bogoljubov Defense",g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8d6
A13,"English Opening: Agincourt Defense, Catalan Defense",g1f3 d7d5 c2c4 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1
A13,"English Opening: Agincourt Defense, Catalan Defense",g1f3 d7d5 c2c4 e7e6 g2g3 c7c5
A13,"English Opening: Agincourt Defense, Catalan Defense Accepted",g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4
A13,"English Opening: Agincourt Defense, Catalan Defense, Semi-Slav Defense",g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 c7c6
A13,"English Opening: Agincourt Defense, Kurajica Defense",g1f3 d7d5 c2c4 e7e6 g2g3 c7c6
