eco,name,moves
E40,"Nimzo-Indian Defense: Normal Variation, Taimanov Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b8c6
E41,Nimzo-Indian Defense: Hübner Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5
E41,"Nimzo-Indian Defense: Hübner Variation, Main Line",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 g1f3 b4c3 b2c3 d7d6
E41,"Nimzo-Indian Defense: Normal Variation, Hübner Deferred",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1f3 e8g8
E42,"Nimzo-Indian Defense: Hübner Variation, Rubinstein Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2
E42,"Nimzo-Indian Defense: Hübner Variation, Rubinstein Variation, Main Line",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2 c5d4 e3d4 e8g8 a2a3
E42,"Nimzo-Indian Defense: Hübner Variation, Rubinstein Variation, Sherbakov Attack",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2 c5d4 e3d4 e8g8 c4c5
E43,Nimzo-Indian Defense: St. Petersburg Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6
E44,Nimzo-Indian Defense: Fischer Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2
E45,"Nimzo-Indian Defense: Normal Variation, Bronstein (Byrne) Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 c8a6
E46,Nimzo-Indian Defense: Normal Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8
E46,Nimzo-Indian Defense: Reshevsky Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2
