eco,name,moves
D07,"Queen's Gambit Declined: Chigorin Defense, Main Line",d2d4 d7d5 c2c4 b8c6 g1f3 c8g4
D07,"Queen's Gambit Declined: Chigorin Defense, Main Line, Alekhine Variation",d2d4 d7d5 c2c4 b8c6 g1f3 c8g4 d1a4
D07,"Queen's Gambit Declined: Chigorin Defense, Modern Gambit",d2d4 d7d5 c2c4 b8c6 b1c3 d5c4 g1f3 g8f6
D07,"Queen's Gambit Declined: Chigorin Defense, Tartakower Gambit",d2d4 d7d5 c2c4 b8c6 b1c3 e7e5
D08,Queen's Gambit Declined: Albin Countergambit,d2d4 d7d5 c2c4 e7e5
D08,"Queen's Gambit Declined: Albin Countergambit, Balogh Variation",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2 d8e7
D08,"Queen's Gambit Declined: Albin Countergambit, Janowski Variation",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2 f7f6
D08,"Queen's Gambit Declined: Albin Countergambit, Krenosz Variation",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2 c8g4 h2h3 g4f3 d2f3 f8b4 c1d2 d8e7
D08,"Queen's Gambit Declined: Albin Countergambit, Lasker Trap",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 e2e3 f8b4 c1d2 d4e3
D08,"Queen's Gambit Declined: Albin Countergambit, Modern Line",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2
D08,"Queen's Gambit Declined: Albin Countergambit, Normal Line",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3
D08,"Queen's Gambit Declined: Albin Countergambit, Tartakower Defense",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 c7c5
D09,"Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3
D09,"Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation, Be6 Line",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3 c8e6
D09,"Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation, Bf5 Line",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3 c8f5
D09,"Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation, Bg4 Line",d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3 c8g4
D10,Slav Defense,d2d4 d7d5 c2c4 c7c6
D10,Slav Defense,d2d4 d7d5 c2c4 c7c6 b1c3
D10,Slav Defense,d2d4 d7d5 c2c4 c7c6 b1c3 d5c4
D10,Slav Defense: Exchange Variation,d2d4 d7d5 c2c4 c7c6 c4d5
D10,"Slav Defense: Slav Gambit, Alekhine Attack",d2d4 d7d5 c2c4 c7c6 b1c3 d5c4 e2e4
D10,Slav Defense: Winawer Countergambit,d2d4 d7d5 c2c4 c7c6 b1c3 e7e5
D10,"Slav Defense: Winawer Countergambit, Anti-Winawer Gambit",d2d4 d7d5 c2c4 c7c6 b1c3 e7e5 e2e4
D11,Slav Defense: Bonet Gambit,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c1g5
D11,Slav Defense: Breyer Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1d2
D11,Slav Defense: Modern,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6
D11,Slav Defense: Modern Line,d2d4 d7d5 c2c4 c7c6 g1f3
D11,Slav Defense: Quiet Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3
D11,"Slav Defense: Quiet Variation, Pin Defense",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8g4
D12,"Queen's Gambit Declined: Slav, Amsterdam Variation",d2d4 d7d5 g1f3 g8f6 e2e3 c8f5 c2c4 c7c6 c4d5 c6d5 b1c3 e7e6 f3e5 f6d7
D12,"Queen's Gambit Declined: Slav, Landau Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 d1b3 d8c8 c1d2 e7e6 b1a3
D12,"Slav Defense: Exchange Variation, Schallopp Variation",d2d4 d7d5 g1f3 g8f6 e2e3 c8f5 c2c4 c7c6 c4d5 c6d5 b1c3
D12,"Slav Defense: Quiet Variation, Schallopp Defense",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5
D13,Slav Defense: Exchange Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c4d5 c6d5
D14,"Slav Defense: Exchange Variation, Symmetrical Line",d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 g8f6 g1f3 b8c6 c1f4 c8f5
D14,"Slav Defense: Exchange Variation, Trifunovic Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c4d5 c6d5 b1c3 b8c6 c1f4 c8f5 e2e3 e7e6 d1b3 f8b4
D15,Slav Defense: Alekhine Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e3
D15,Slav Defense: Chameleon Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6
D15,"Slav Defense: Chameleon Variation, Advance System",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6 c4c5
D15,Slav Defense: Geller Gambit,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e4
D15,Slav Defense: Geller Gambit,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e4 b7b5 e4e5
D15,Slav Defense: Süchting Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d8b6
D15,Slav Defense: Three Knights Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3
D15,Slav Defense: Two Knights Attack,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4
D16,"Queen's Gambit Declined: Slav, Smyslov Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 b8a6 e2e4 c8g4
D16,Slav Defense: Alapin Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4
D16,Slav Defense: Smyslov Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 b8a6
D16,Slav Defense: Soultanbeieff Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 e7e6
D16,Slav Defense: Steiner Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8g4
D17,Slav Defense: Czech Variation,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5
D17,"Slav Defense: Czech Variation, Bled Attack",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3h4
D17,"Slav Defense: Czech Variation, Carlsbad Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8d7 e5c4 d8c7 g2g3 e7e5
D17,"Slav Defense: Czech Variation, Carlsbad Variation, Morozevich Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8d7 e5c4 d8c7 g2g3 e7e5 d4e5 d7e5 c1f4 f6d7 f1g2 g7g5
D17,"Slav Defense: Czech Variation, Krause Attack",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5
D17,"Slav Defense: Czech Variation, Krause Attack, Fazekas Gambit",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8a6 e2e4
D17,"Slav Defense: Czech Variation, Wiesbaden Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6
D17,"Slav Defense: Czech Variation, Wiesbaden Variation, Sharp Line",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6 f2f3 f8b4 e2e4
D18,"Slav Defense: Czech Variation, Classical System",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3
D18,"Slav Defense: Czech Variation, Lasker Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 b8a6
D19,"Queen's Gambit Declined: Slav, Dutch Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1
D19,"Queen's Gambit Declined: Slav, Dutch, Sämisch Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2 f6e4 g2g4
D19,"Slav Defense: Czech Variation, Classical System, Main Line",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2
D20,Queen's Gambit Accepted,d2d4 d7d5 c2c4 d5c4
D20,Queen's Gambit Accepted: Accelerated Mannheim Variation,d2d4 d7d5 c2c4 d5c4 d1a4
D20,"Queen's Gambit Accepted: Central Variation, Alekhine System",d2d4 d7d5 c2c4 d5c4 e2e4 g8f6
D20,"Queen's Gambit Accepted: Central Variation, Greco Variation",d2d4 d7d5 c2c4 d5c4 e2e4 b7b5
D20,"Queen's Gambit Accepted: Central Variation, McDonnell Defense",d2d4 d7d5 c2c4 d5c4 e2e4 e7e5
D20,"Queen's Gambit Accepted: Central Variation, McDonnell Defense, Somov Gambit",d2d4 d7d5 c2c4 d5c4 e2e4 e7e5 f1c4
D20,"Queen's Gambit Accepted: Central Variation, Modern Defense",d2d4 d7d5 c2c4 d5c4 e2e4 b8c6
D20,"Queen's Gambit Accepted: Central Variation, Rubinstein Defense",d2d4 d7d5 c2c4 d5c4 e2e4 c7c5
D20,"Queen's Gambit Accepted: Central Variation, Rubinstein Defense, Yefimov Gambit",d2d4 d7d5 c2c4 d5c4 e2e4 c7c5 d4d5 b7b5
D20,Queen's Gambit Accepted: Linares Variation,d2d4 d7d5 c2c4 d5c4 e2e4 c7c5 d4d5 g8f6 b1c3 b7b5
D20,Queen's Gambit Accepted: Old Variation,d2d4 d7d5 c2c4 d5c4 e2e3
D20,"Queen's Gambit Accepted: Old Variation, Billinger Gambit",d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 a2a3
D20,"Queen's Gambit Accepted: Old Variation, Christensen Gambit",d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 g1f3
D20,"Queen's Gambit Accepted: Old Variation, Korchnoi Gambit",d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 e1f1
D20,"Queen's Gambit Accepted: Old Variation, Novikov Gambit",d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 b1d2
D20,Queen's Gambit Accepted: Saduleto Variation,d2d4 d7d5 c2c4 d5c4 e2e4
D20,Queen's Gambit Accepted: Schwartz Defense,d2d4 d7d5 c2c4 d5c4 e2e4 f7f5
D21,"Queen's Gambit Accepted: Alekhine Defense, Borisenko-Furman Variation",d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e4
D21,Queen's Gambit Accepted: Godes Variation,d2d4 d7d5 c2c4 d5c4 g1f3 b8d7
D21,Queen's Gambit Accepted: Gunsberg Defense,d2d4 d7d5 c2c4 d5c4 g1f3 c7c5
D21,Queen's Gambit Accepted: Normal Variation,d2d4 d7d5 c2c4 d5c4 g1f3
D21,Queen's Gambit Accepted: Slav Gambit,d2d4 d7d5 c2c4 d5c4 g1f3 b7b5
D22,Queen's Gambit Accepted: Alekhine Defense,d2d4 d7d5 c2c4 d5c4 g1f3 a7a6
D22,"Queen's Gambit Accepted: Alekhine Defense, Alatortsev Variation",d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 c8g4 f1c4 e7e6 d4d5
D22,"Queen's Gambit Accepted: Alekhine Defense, Haberditz Variation",d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 b7b5
D23,Queen's Gambit Accepted,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6
D23,Queen's Gambit Accepted: Mannheim Variation,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 d1a4
D24,Queen's Gambit Accepted: Bogoljubov Defense,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 b1c3 a7a6 e2e4
D24,"Queen's Gambit Accepted: Gunsberg Defense, Prianishenmo Gambit",d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 b1c3 c7c5 d4d5 e7e6 e2e4 e6d5 e4e5
D24,Queen's Gambit Accepted: Showalter Variation,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 b1c3
D25,Queen's Gambit Accepted: Janowski-Larsen Variation,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 c8g4
D25,Queen's Gambit Accepted: Normal Variation,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3
D25,Queen's Gambit Accepted: Smyslov Variation,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 g7g6
D25,Queen's Gambit Accepted: Winawer Defense,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 c8e6
